Thème,Difficulté question,Questions,A,B,C,D,Réponse
Football,Facile,Quel club a remporté le plus de Ligues des Champions??,Real Madrid,AC Milan,Liverpool,Bayern Munich,A
Football,Facile,Quel est le ballon officiel de la Coupe du Monde??,Adidas,Nike,Puma,Umbro,B
Football,Facile,En quelle année le football moderne a-t-il été codifié??,1863,1875,1850,1880,B
Football,Facile,Quel pays a remporté la Coupe du Monde 2018??,France,Allemagne,Belgique,Brésil,B
Football,Facile,Quel joueur jouait pour l'équipe AC Milan??,Andriy Shevchenko,Zinédine Zidane,Paul Scholes,Frank Lampard,A
Football,Facile,Quelle est la couleur du maillot de la France??,Bleu,Blanc,Rouge,Noir,D
Football,Facile,Combien de fois la France a-t-elle remporté la Coupe du Monde??,2,1,3,0,C
Football,Facile,Quel est le plus vieux club de football d'Angleterre??,Sheffield FC,Manchester United,Arsenal,Liverpool,A
Football,Facile,Quel joueur a marqué le plus de buts en Ligue 1 en une saison??,Kylian Mbappé,Zlatan Ibrahimović,Edinson Cavani,Thierry Henry,C
Football,Facile,Quel est le surnom de la sélection brésilienne??,Canarinha,Seleção,Amarela,Pentacampeões,C
Football,Facile,En quelle année la Premier League anglaise a-t-elle commencé??,1992,1888,1900,1950,B
Football,Facile,Quel trophée remporte le champion d'Angleterre??,Premier League Trophy,FA Cup,League Cup,Community Shield,D
Football,Facile,Quel joueur a remporté le Ballon d'Or le plus de fois??,Cristiano Ronaldo,Messi,Pelé,Maradona,D
Football,Facile,Quel est le stade du Real Madrid??,Santiago Bernabéu,Estadio Metropolitano,La Cartuja,Estadi Cornellà,A
Football,Facile,Combien de continents participent à la Coupe du Monde??,6,5,4,7,C
Football,Facile,Quel pays a remporté la Coupe d'Afrique des Nations 2019??,Algérie,Sénégal,Cameroun,Égypte,C
Football,Facile,Quel est le joueur le plus cher jamais acheté??,Neymar,Kylian Mbappé,Paul Pogba,Eden Hazard,C
Football,Facile,En quelle année Diego Maradona est-il né??,1960,1955,1965,1958,B
Football,Facile,Quel club italien est le plus titré en Série A??,AC Milan,Juventus Turin,Inter Milan,Fiorentina,C
Football,Facile,Quel est le derby entre le Real Madrid et l'Atlético Madrid??,El Derbi Madrileño,Clásico,Derbi de Barcelona,Derbi de Andalucía,B
Football,Facile,Combien de joueurs sont envoyés hors du terrain par carton rouge??,1,2,3,4,B
Football,Facile,Quel pays a remporté la Coupe de l'Euro 2020??,Italie,Angleterre,Danemark,Espagne,D
Football,Facile,Quel joueur joue pour Manchester City??,Erling Haaland,Harry Kane,Bruno Fernandes,Bukayo Saka,A
Football,Facile,Quel est le club le plus ancien d'Espagne??,Athletic Club,Real Madrid,Barcelona,Atlético Madrid,A
Football,Facile,En quelle année Zinédine Zidane a-t-il pris sa retraite??,2006,2000,2010,2005,B
Football,Facile,Quel trophée remporte le champion de Ligue 1??,Championnat de France,Coupe de France,Coupe de la Ligue,Trophée des Champions,C
Football,Facile,Combien de joueurs peut remplacer une équipe lors d'un match??,3,5,7,2,A
Football,Facile,Quel pays organise la Coupe du Monde 2026??,USA Canada et Mexique,Australie,Qatar,Angleterre,C
Football,Facile,Quel joueur a remporté le Ballon d'Or 2023??,Lionel Messi,Karim Benzema,Erling Haaland,Vinicius Jr,C
Football,Facile,Quel est le stade du Paris Saint-Germain??,Parc des Princes,Stade de France,Allianz Riviera,Orange Vélodrome,A
Football,Facile,En quelle année Pelé a-t-il remporté sa première Coupe du Monde??,1958,1962,1970,1950,B
Football,Facile,Quel club a remporté la Ligue des Champions 2023??,Real Madrid,Manchester City,Inter Milan,Bayern Munich,C
Football,Facile,Quel est le plus grand derby italien??,Derby della Madonnina,Derby d'Italie,Derby del Sole,Derby dell'Apennino,B
Football,Facile,Combien de points pour une victoire en championnat??,3,2,1,4,D
Football,Facile,Quel pays a remporté la Copa América 2021??,Argentine,Brésil,Colombie,Chili,D
Football,Facile,Quel joueur joue pour Liverpool??,Mohamed Salah,Harry Kane,Son Heung-min,Bukayo Saka,A
Football,Facile,Quel est le plus grand stade d'Angleterre??,Wembley,Old Trafford,Anfield,Stamford Bridge,A
Football,Facile,En quelle année la Ligue des Champions a-t-elle commencé??,1955,1960,1950,1965,C
Football,Facile,Quel joueur a marqué le plus de buts en Ligue des Champions??,Cristiano Ronaldo,Messi,Robert Lewandowski,Karim Benzema,D
Football,Facile,Quel est le stade de Barcelona??,Camp Nou,Montjuïc,La Cartuja,Nou Estadio Cornellà,D
Football,Facile,Combien de fois l'Allemagne a-t-elle remporté la Coupe du Monde??,4,2,3,5,D
Football,Facile,Quel pays a remporté la Coupe du Monde 1994??,Brésil,Italie,Allemagne,Suède,D
Football,Facile,Quel joueur joue pour Arsenal??,Bukayo Saka,Mohamed Salah,Harry Kane,Antony,B
Football,Facile,Quel est le plus grand derby espagnol??,El Clásico,Derbi Madrileño,Derby d'Andalousie,Derby de Barcelone,B
Football,Facile,En quelle année Messi a-t-il rejoint Inter Miami??,2023,2022,2021,2024,D
Football,Facile,Quel club anglais a remporté le plus de titres de Premier League??,Manchester United,Arsenal,Manchester City,Chelsea,C
Football,Facile,Quel pays a remporté la Coupe du Monde 1998??,France,Brésil,Italie,Allemagne,A
Football,Facile,Quel joueur a remporté le Ballon d'Or 2022??,Karim Benzema,Messi,Cristiano Ronaldo,Lewandowski,D
Football,Facile,Quel est le stade de Manchester United??,Old Trafford,Etihad Stadium,Emirates Stadium,King Power Stadium,A
Football,Facile,Combien de fois l'Italie a-t-elle remporté la Coupe du Monde??,2,1,3,4,C
Football,Facile,Quel pays a remporté la Coupe du Monde 1974??,Allemagne de l'Ouest,Brésil,Pays-Bas,Suède,A
Football,Facile,Quel joueur joue pour Chelsea??,Cole Palmer,Bukayo Saka,Harry Kane,Cristiano Ronaldo,D
Football,Facile,Quel est le plus grand derby français??,Choc des Titans,Derbi Lyonnais,Derbi de Provence,Classique,D
Football,Facile,En quelle année la Coupe du Monde a-t-elle commencé??,1930,1925,1920,1935,C
Football,Facile,Quel club a remporté la Ligue 1 2023-2024??,Paris Saint-Germain,Marseille,Rennes,Monaco,A
Football,Facile,Quel est le stade de l'Inter Milan??,San Siro,Stadio Olimpico,Stadio Renato Dall'Ara,Stadio Luigi Ferraris,B
Football,Facile,Combien de fois la Hollande a-t-elle remporté la Coupe du Monde??,0,1,2,3,D
Football,Facile,Quel pays a remporté la Coupe du Monde 1982??,Italie,France,Allemagne,Pologne,D
Football,Facile,Quel joueur joue pour Manchester United??,Bruno Fernandes,Jordan Henderson,Mohamed Salah,Phil Foden,B
Football,Facile,Quel est le plus grand derby écossais??,Old Firm,Derbi d'Édimbourg,Derbi des Highlands,Derbi du Tayside,A
Football,Facile,En quelle année la Ligue 1 a-t-elle commencé??,1932,1920,1945,1950,D
Football,Facile,Quel club a remporté la Serie A 2023-2024??,Inter Milan,Juventus,AC Milan,Napoli,D
Football,Facile,Quel est le stade de la Juventus Turin??,Allianz Stadium,Stadio Olimpico,San Siro,Stadio Renato Dall'Ara,C
Football,Facile,Combien de fois la Belgique a-t-elle remporté la Coupe du Monde??,0,1,2,3,B
Football,Facile,Quel pays a remporté la Coupe du Monde 1970??,Brésil,Italie,Allemagne,Mexique,D
Football,Facile,Quel joueur a remporté le Ballon d'Or 2021??,Lionel Messi,Robert Lewandowski,Jorginho,Cristiano Ronaldo,B
Football,Facile,Quel est le plus grand derby néerlandais??,Ajax Amsterdam vs PSV Eindhoven,Feyenoord vs AZ Alkmaar,Ajax vs AZ Alkmaar,PSV vs Feyenoord,D
Football,Facile,En quelle année la Serie A a-t-elle commencé??,1929,1920,1935,1945,D
Football,Facile,Quel club a remporté la Liga 2023-2024??,Real Madrid,Barcelona,Atlético Madrid,Sevilla,D
Football,Facile,Quel est le stade du Bayern Munich??,Allianz Arena,Olympiastadion,Waldstadion,Signal Iduna Park,D
Football,Facile,Combien de fois le Brésil a-t-il remporté la Coupe du Monde??,5,3,4,6,B
Football,Facile,Quel pays a remporté la Coupe du Monde 1950??,Uruguay,Brésil,France,Espagne,C
Football,Facile,Quel joueur a remporté le Ballon d'Or 2020??,Robert Lewandowski,Cristiano Ronaldo,Messi,Manuel Neuer,A
Football,Facile,Quel est le plus grand derby turc??,Galatasaray vs Fenerbahçe,Besiktas vs Galatasaray,Fenerbahçe vs Besiktas,Trabzonspor vs Galatasaray,D
Football,Facile,En quelle année la Premier League anglaise a-t-elle été créée??,1992,1888,1900,1950,B
Football,Facile,Quel club a remporté la FA Cup 2024??,Manchester City,Manchester United,Arsenal,Chelsea,B
Football,Facile,Quel est le stade de Liverpool??,Anfield,Goodison Park,Everton Stadium,Kop Stadium,B
Football,Facile,Combien de fois l'Espagne a-t-elle remporté la Coupe du Monde??,1,2,3,0,A
Football,Facile,Quel pays a remporté la Coupe du Monde 1934??,Italie,Allemagne,France,Brésil,A
Football,Facile,Quel joueur a remporté le Ballon d'Or 2019??,Lionel Messi,Virgil van Dijk,Cristiano Ronaldo,Robert Lewandowski,B
Football,Facile,Quel est le plus grand derby portugais??,Benfica vs Porto,Benfica vs Sporting,Porto vs Sporting,Boavista vs Benfica,A
Football,Facile,Quel club a le plus de supporters au monde??,Manchester United,Real Madrid,Barcelona,Liverpool,C
Football,Facile,Quel joueur porte le numéro 7 mythique de Manchester United??,Antony,Bruno Fernandes,Marcus Rashford,Casemiro,D
Football,Facile,Quel pays a la meilleure sélection féminine??,États-Unis,Norvège,Allemagne,Japon,D
Football,Facile,Quel est le plus ancien derby d'Europe??,Eternal Derby,Derby della Madonnina,El Clásico,Old Firm,C
Football,Facile,Combien de fois la Coupe du Monde a-t-elle eu lieu??,22,20,25,18,A
Football,Facile,En quelle année Zinédine Zidane a-t-il marqué son but en finale de Ligue des Champions 2002??,2002,2000,2001,2003,D
Football,Facile,Combien de buts Gerd Müller a-t-il marqués en tant que buteur de la Coupe du Monde 1970??,10,8,9,12,D
Football,Facile,Quel club a remporté la Ligue des Champions en 1999 avec un but en prolongation??,Manchester United,Bayern Munich,Juventus,Real Madrid,B
Football,Facile,En quelle année Diego Maradona a-t-il remporté la Coupe du Monde avec l'Argentine??,1986,1982,1990,1978,C
Football,Facile,Combien de fois Zinédine Zidane a-t-il remporté la Ligue des Champions??,2,1,3,4,A
Football,Facile,Quel joueur a remporté le plus de Ballons d'Or entre 2008 et 2017??,Cristiano Ronaldo,Messi,Andriy Shevchenko,Gianluigi Buffon,C
Football,Facile,En quelle année le Tiki-Taka espagnol a-t-il triomphé à l'Euro??,2008,2012,2010,2016,D
Football,Intermédiaire,Combien de penaltys Robert Lewandowski a-t-il marqués en Ligue des Champions en sa carrière??,Environ 10,Environ 15,Environ 20,Environ 25,C
Football,Intermédiaire,Quel est le record de buts en Ligue 1 en une saison??,73 buts en 1 saison,9 buts en 1 match,56 buts en 1 saison,Jamais fait,C
Football,Intermédiaire,En quelle année la Ligue des Champions a-t-elle changé de format??,1992,1995,1990,2000,D
Football,Intermédiaire,Combien de fois le Milan AC a-t-il remporté la Ligue des Champions??,7,5,8,6,C
Football,Intermédiaire,Quel joueur a marqué le plus de buts en finale de Coupe du Monde??,Pelé,Gerd Müller,Cristiano Ronaldo,Zinédine Zidane,A
Football,Intermédiaire,En quelle année le VAR a-t-il été utilisé pour la première fois à la Coupe du Monde??,2018,2014,2022,2010,B
Football,Intermédiaire,Quel est le record de passes décisives en un match de Premier League??,13,10,12,11,C
Football,Intermédiaire,Combien de fois Thierry Henry a-t-il remporté le titre de meilleur buteur de Premier League??,4,3,5,6,B
Football,Intermédiaire,En quelle année Maradona a-t-il marqué le fameux But de la Main de Dieu??,1986,1984,1988,1990,D
Football,Intermédiaire,Quel est le record de tacles en une saison de Premier League??,278,250,300,225,D
Football,Intermédiaire,Combien de fois le Real Madrid a-t-il remporté la Coupe du Roi??,30,34,32,36,B
Football,Intermédiaire,En quelle année la France a-t-elle remporté l'Euro à domicile??,2016,2012,2010,2020,C
Football,Intermédiaire,Quel est le record de victoires consécutives en Premier League??,18,15,20,17,D
Football,Intermédiaire,Combien de buts Pelé a-t-il marqués en finales de Coupe du Monde??,Environ 8,Environ 12,Environ 15,Environ 10,B
Football,Intermédiaire,En quelle année le Ballon d'Or a-t-il été créé??,1956,1950,1960,1945,A
Football,Intermédiaire,Quel est le record de passes décisives en Ligue des Champions??,35,40,45,30,D
Football,Intermédiaire,Combien de fois Messi a-t-il remporté la Ligue des Champions??,4,3,5,2,A
Football,Intermédiaire,En quelle année le système de notation 3-1-0 a-t-il été introduit??,1995,1990,1985,2000,A
Football,Intermédiaire,Quel est le record de buts en carrière de Ligue 1??,200,250,300,350,A
Football,Intermédiaire,Combien de fois la Juventus Turin a-t-elle remporté la Coupe d'Italie??,14,12,16,10,B
Football,Intermédiaire,En quelle année Johan Cruyff a-t-il pris sa retraite??,1984,1980,1990,1978,D
Football,Intermédiaire,Quel est le record d'assists en un match de Ligue des Champions??,5,4,6,3,D
Football,Intermédiaire,Combien de fois le PSG a-t-il remporté la Ligue 1??,9,7,8,10,D
Football,Intermédiaire,En quelle année le système offside a-t-il été introduit??,1875,1866,1850,1880,D
Football,Intermédiaire,Quel est le record de buts en un match de Ligue 1??,14,10,12,8,B
Football,Intermédiaire,Combien de fois Ronaldinho a-t-il remporté la Copa América??,1,2,3,0,C
Football,Intermédiaire,En quelle année la première Coupe d'Afrique des Nations a-t-elle eu lieu??,1957,1960,1950,1965,C
Football,Intermédiaire,Quel est le record de tires au but sans erreur en Ligue des Champions??,15,20,25,18,D
Football,Intermédiaire,Combien de fois Eric Cantona a-t-il remporté la Premier League??,5,3,4,2,C
Football,Intermédiaire,En quelle année le football féminin s'est-il codifié??,1881,1875,1890,1870,A
Football,Intermédiaire,Quel est le record de minutes jouées sans encaisser de buts en Premier League??,1311,1000,1500,1200,C
Football,Intermédiaire,Combien de fois Liverpool a-t-elle remporté la Ligue des Champions??,6,5,7,4,A
Football,Intermédiaire,En quelle année la Coupe Intercontinentale a-t-elle commencé??,1960,1955,1965,1950,B
Football,Intermédiaire,Quel est le record de tires au but en un match de Ligue 1??,40,50,60,35,C
Football,Intermédiaire,Combien de fois le Bayern Munich a-t-il remporté la Coupe d'Allemagne??,20,15,18,22,A
Football,Intermédiaire,En quelle année la Coupe UEFA a-t-elle débuté??,1971,1975,1965,1980,B
Football,Intermédiaire,Quel est le record de passes exactes en un match de Ligue des Champions??,500,600,700,400,B
Football,Intermédiaire,Combien de fois David Beckham a-t-il remporté la Premier League??,6,5,4,3,A
Football,Intermédiaire,En quelle année la SuperCoupe d'Europe a-t-elle commencé??,1970,1973,1975,1980,B
Football,Intermédiaire,Quel est le record de dribbles réussis en un match de Ligue 1??,25,20,30,15,C
Football,Intermédiaire,Combien de fois Patrick Vieira a-t-il remporté la Premier League??,4,3,5,2,C
Football,Intermédiaire,En quelle année la Coupe du Monde des Clubs a-t-elle débuté??,2000,1995,2005,1998,B
Football,Intermédiaire,Quel est le record d'interceptions en un match de Ligue des Champions??,15,12,18,10,C
Football,Intermédiaire,Combien de fois Gianluigi Buffon a-t-il remporté la Serie A??,10,8,9,7,A
Football,Intermédiaire,En quelle année la Ligue Europa a-t-elle remplacé la Coupe UEFA??,2009,2010,2008,2011,D
Football,Intermédiaire,Quel est le record de corners en un match de Ligue 1??,25,20,30,15,B
Football,Intermédiaire,Combien de fois Tony Adams a-t-il remporté la Premier League??,3,2,4,5,C
Football,Intermédiaire,En quelle année la Coupe de la Ligue a-t-elle commencé??,1990,1994,1992,1996,A
Football,Intermédiaire,Quel est le record d'interceptions en carrière de Premier League??,Environ 1500,Environ 2000,Environ 2500,Environ 1000,B
Football,Intermédiaire,Combien de fois Roy Keane a-t-il remporté la Premier League??,7,6,5,8,D
Football,Intermédiaire,En quelle année la Supercoupe de France a-t-elle commencé??,1955,1960,1950,1965,C
Football,Intermédiaire,Quel est le record de cartons rouges en carrière de Premier League??,Environ 75,Environ 100,Environ 125,Environ 50,C
Football,Intermédiaire,Combien de fois Sergio Busquets a-t-il remporté la Liga??,6,5,7,4,B
Football,Intermédiaire,En quelle année la Coupe Intertoto a-t-elle commencé??,1960,1955,1965,1970,C
Football,Intermédiaire,Quel est le record de passes touchées en un match de Ligue des Champions??,700,800,900,600,A
Football,Intermédiaire,Combien de fois Xavi Hernández a-t-il remporté la Liga??,9,8,7,10,A
Football,Intermédiaire,En quelle année la Ligue des Champions a changé le format de groupes??,1995,1999,2000,1997,C
Football,Intermédiaire,Quel était le score exact de la plus grande victoire en Ligue des Champions??,12-2,14-3,13-3,11-2,B
Football,Intermédiaire,Combien de minutes a joué Cristiano Ronaldo en Ligue des Champions au total??,Environ 8000,Environ 10000,Environ 12000,Environ 9000,A
Football,Intermédiaire,Quel est le record d'interceptions en carrière de Ligue des Champions??,Environ 200,Environ 300,Environ 400,Environ 150,C
Football,Intermédiaire,En quelle année Pelé a-t-il marqué son 1000e but??,1969,1968,1970,1971,A
Football,Intermédiaire,Quel est le record de centres en carrière de Ligue des Champions??,Environ 400,Environ 500,Environ 600,Environ 300,D
Football,Intermédiaire,Combien de fois Andriy Shevchenko a-t-il remporté la Ligue des Champions??,1,2,3,0,C
Football,Intermédiaire,En quelle année le système de bonus/pénalité a-t-il été introduit en Ligue des Champions??,1995,1997,2000,1999,C
Football,Intermédiaire,Quel est le record de tacles remportés en carrière de Premier League??,Environ 2000,Environ 3000,Environ 4000,Environ 1500,D
Football,Intermédiaire,Combien de buts Gerd Müller a-t-il marqués au total??,750,793,850,700,C
